GeneID	GeneName
2739	GLO1
2744	GLS
27165	GLS2
10672	GNA13
2801	GOLGA2
51280	GOLM1
51280	GOLM1
64083	GOLPH3
2719	GPC3
2821	GPI
2854	GPR32
26585	GREM1
26585	GREM1
79977	GRHL2
79977	GRHL2
79977	GRHL2
252973	Grhl2
252973	Grhl2
2896	GRN
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
2932	GSK3B
56637	Gsk3b
2934	GSN
283120	H19
283120	H19
283120	H19
3014	H2AFX
3014	H2AFX
3014	H2AFX
3015	H2AFZ
9421	HAND1
3037	HAS2
3037	HAS2
594842	HAS2-AS1
84868	HAVCR2
84868	HAVCR2
951475	HCVgp1
3065	HDAC1
3065	HDAC1
3065	HDAC1
3065	HDAC1
3066	HDAC2
3066	HDAC2
8841	HDAC3
9759	HDAC4
10014	HDAC5
15185	Hdac6
55869	HDAC8
482339	HDAC9
3068	HDGF
3068	HDGF
3280	HES1
3280	HES1
3082	HGF
3082	HGF
15234	Hgf
15234	Hgf
3090	HIC1
3090	HIC1
15248	Hic1
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
3091	HIF1A
15251	Hif1a
15251	Hif1a
15251	Hif1a
15251	Hif1a
29560	Hif1a
84681	HINT2
3092	HIP1
28996	HIPK2
3099	HK2
8091	HMGA2
8091	HMGA2
8091	HMGA2
8091	HMGA2
8091	HMGA2
8091	HMGA2
8091	HMGA2
8091	HMGA2
8091	HMGA2
8091	HMGA2
8091	HMGA2
15364	Hmga2
15364	Hmga2
84017	Hmga2
84017	Hmga2
3146	HMGB1
3146	HMGB1
3146	HMGB1
3146	HMGB1
3146	HMGB1
322012	hmmr
3172	HNF4A
3172	HNF4A
15378	Hnf4a
25735	Hnf4a
3182	HNRNPAB
51361	HOOK1
51361	HOOK1
100124700	HOTAIR
100124700	HOTAIR
100124700	HOTAIR
100124700	HOTAIR
3206	HOXA10
3209	HOXA13
3209	HOXA13
3209	HOXA13
3205	HOXA9
10481	HOXB13
10481	HOXB13
3219	HOXB9
3235	HOXD9
3265	HRAS
94175	Hrg
3297	HSF1
3297	HSF1
3297	HSF1
15499	Hsf1
3308	HSPA4
3309	HSPA5
3309	HSPA5
3315	HSPB1
3346	HTN1
3397	ID1
3397	ID1
3397	ID1
3397	ID1
609779	ID1
21821	Ift88
305918	Ift88
3479	IGF1
3479	IGF1
3480	IGF1R
3480	IGF1R
3480	IGF1R
3490	IGFBP7
3490	IGFBP7
3490	IGFBP7
93185	IGSF8
8517	IKBKG
3589	IL11
3605	IL17A
3605	IL17A
3605	IL17A
54756	IL17RD
50616	IL22
51561	IL23A
246778	IL27
3565	IL4
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3569	IL6
3611	ILK
3611	ILK
3611	ILK
3611	ILK
3611	ILK
3611	ILK
3611	ILK
3611	ILK
3611	ILK
16202	Ilk
16202	Ilk
55272	IMP3
51147	ING4
8821	INPP4B
54139	Irf6
3394	IRF8
15944	Irgm1
3667	IRS1
8660	IRS2
100855667	ISG15
83737	ITCH
3673	ITGA2
3675	ITGA3
3675	ITGA3
3678	ITGA5
3685	ITGAV
3688	ITGB1
3688	ITGB1
3688	ITGB1
3688	ITGB1
3688	ITGB1
3694	ITGB6
182	JAG1
182	JAG1
3717	JAK2
3717	JAK2
3717	JAK2
3718	JAK3
3720	JARID2
3725	JUN
3725	JUN
3725	JUN
3726	JUNB
3726	JUNB
8850	KAT2B
84148	KAT8
84148	KAT8
3783	KCNN4
23028	KDM1A
23028	KDM1A
23028	KDM1A
23028	KDM1A
23028	KDM1A
23028	KDM1A
23028	KDM1A
23030	KDM4B
23030	KDM4B
5927	KDM5A
10765	KDM5B
7403	KDM6A
7403	KDM6A
22289	Kdm6a
23135	KDM6B
16542	Kdr
100855651	KIF5B
128209	KLF17
10365	KLF2
9314	KLF4
9314	KLF4
9314	KLF4
9314	KLF4
9314	KLF4
9314	KLF4
16600	Klf4
16600	Klf4
688	KLF5
